"","year","country","fpu_em_clerks","fpu_em_elem_ocupation","fpu_em_professional","fpu_em_senior_official","fpu_em_technician","fsppaid_em","pri_ed_sppaid_em","sec_ed_sppaid_em","ter_ed_sppaid_em","tot_em_ter_ed_wpsec","psec_sformal_em","psec_spaid_em","psec_stotal_em","psec_spaid_em_rural","psec_spaid_em_urban","wbill_per_gdp","wbill_per_pub_expenditure","lfpr","egov_index","epar_index","online_ser_index","hum_cap_index","telcom_infra_index","gdp_percap","per_growth_gdp","upop","vdem_corr","icrg_qog","wbgi_gee","cofog_ggtot","time","time_squared"
"Austria-2008","2008","Austria",-1.40542219460604,-0.78107177233548,-1.08412351872763,-1.88358927743821,-0.484722733924987,-0.892203102674594,-0.272625397251224,0.76864291121606,-0.508457566967819,-0.905063815605608,-1.03647955336894,-1.03562193108148,-0.866955997091501,-1.24381932944748,-0.718136086501496,-0.0195148895721823,-0.923203521552533,0.17535729755661,0.0697621857638578,-0.294412960508112,-0.0318782173568121,1.06018879520367,-0.253609947259278,51708.7657541758,1.4604236757386,-0.366392003802129,-0.367856710725272,1.32996577255372,1.22182189407137,0.69177704855642,1,1
"Austria-2010","2010","Austria",-1.11071774269138,-0.704999097596948,-0.504001916028829,-1.29487151687473,-0.175544896152069,-0.484786211337256,-0.00836177828032417,0.831160200784151,-0.767077863457666,-0.774504607963309,-0.730843925713561,-0.723208565367013,-0.497898677353633,-1.2077313841248,-0.251605829266467,0.278195969619148,-0.99597191150934,0.269031903959996,-0.790513946628094,-0.211505932343669,-1.11823990340837,0.943268638573217,-0.438570645403497,46858.0432733717,1.83709367680054,-0.390107447626171,-0.367856710725272,1.32996577255372,1.34564956213972,1.1021033020039,2,4
"Austria-2012","2012","Austria",-0.330012959030069,0.793449871676706,-0.77497900289409,-0.492102047333604,0.0346079940539007,-0.202732473639188,-0.0541725558661762,0.691109585557734,-0.591617635179254,-0.692540923251035,-0.517727677630743,-0.501768404212748,-0.340971870066641,-1.1254787537783,0.136788542349108,0.0340597945277296,-1.05348394665003,0.389948913792821,0.542586586030037,-0.691513187356462,0.424444176541269,0.0404741871481274,0.467751385352949,48567.69528642,0.680445576816723,-0.4006476448813,-0.376137109391007,1.13105139572557,0.805220439669923,0.875716403550117,3,9
"Austria-2014","2014","Austria",-0.10498967822418,0.661394769493532,-0.582596666508308,-0.392305239157293,-0.0248393383635115,-0.169778538101862,-0.146414278852232,0.802280209749641,-0.621000912981254,-0.736644841739435,-0.342695645870192,-0.324371990838746,-0.167148218186972,-0.754773807525441,0.0941099706768485,-0.0371224300138549,-1.29048755167069,0.437025897248985,0.626350617085698,0.253364315767125,0.441311008802525,-0.726002395207061,0.920875876106735,51717.4959405515,0.661272848852605,-0.384795522819022,-0.682511860023198,1.13105139572557,0.798539928542647,1.04550657739045,4,16
"Austria-2016","2016","Austria",-0.273850563791487,0.169267845994682,-0.688117677289515,0.34983499568257,0.0671823581720208,-0.303320404279255,-0.440560268692115,0.666090334585895,-0.305870463854758,-0.653057527967349,-0.374454541710863,-0.373269770898145,-0.177029478886402,-0.860085038486182,0.0813867389122326,-0.0120630981716005,-0.965164949153625,0.581241192476787,0.966117749913666,1.17949381516149,1.38797631201,-1.19599651036844,0.556287074985963,45276.8314351693,1.98943716230463,-0.368943400756743,-0.682511860023198,1.13105139572557,0.6752047418684,0.720075410863143,5,25
"Austria-2018","2018","Austria",-0.0335423371664932,0.41788581763202,-0.403927006711433,-0.168950175099421,-0.833449594700244,-0.355681914801865,-0.384246187378841,0.417491514869875,-0.115089200845468,-0.76921644749272,-0.361817586275207,-0.359871718486469,-0.15821724071818,-0.615326423948539,-0.132203141505125,-0.140312999749285,-0.859685098057456,0.684666286480519,1.0728623107514,0.976840296251832,1.13015473315936,-1.00184142530935,1.00765838376682,51478.2852619277,2.58012073304926,-0.352547538359875,-0.607988272031584,1.13105139572557,0.556174651524531,0.521986874716086,6,36
"Belgium-2008","2008","Belgium",-0.832501312668576,0.601425985236524,-0.725568009613446,-1.44471253355032,-0.237249791510553,-0.525116474371332,0.239284149369839,-0.416609360919092,0.160638652802568,1.54448236575368,2.07163343319198,2.11481945983999,2.13461265900377,2.02613031780988,2.16285287516814,0.658641371443503,-0.164403206078918,-1.01740251326794,-0.675956005664454,-0.543097570286017,-0.760995806500728,1.25114058830028,-0.813897686108472,48106.892915788,0.446928735275904,1.28946461974284,-0.848119833337896,0.335392098180516,0.426932736912175,0.819119678936671,1,1
"Belgium-2010","2010","Belgium",-0.673556193661467,0.159845735771605,-0.749811146613365,-0.408439138309824,-0.292917485406588,-0.490902812431548,0.448226934841891,-0.60016912828057,0.233116444611945,1.27624726106885,1.81224055133641,1.84368020759112,2.00671666743332,2.01532801528069,1.88015218365374,0.925288283143761,-0.328733528445715,-0.919486353644252,-0.163949802119838,0.101118853576897,-0.262276851238468,1.21608233737761,-0.466548507721521,44141.8781415734,2.86429270764155,1.29347993298289,-0.848119833337896,0.932136589241633,0.803499701955322,1.25774429469087,2,4
"Belgium-2012","2012","Belgium",-0.390516717596996,0.0134623571732672,-0.465015974743774,-1.12688873416631,-1.36636828437455,-0.409667213562873,-0.0490515102518584,-0.570402448605106,0.533907360125241,1.06553359096925,1.83638442864965,1.86898382939171,2.07049482536455,1.77783963942237,1.83043007347597,1.07116503911483,-0.531161668597661,-1.04756417306379,0.403094770252845,-1.55523444865608,-0.138013046211658,0.349057979533521,0.791286508607587,44673.1158755901,0.739217283058679,1.29736976768419,-0.848119833337896,0.932136589241633,0.859293595924927,1.62562300467826,3,9
"Belgium-2014","2014","Belgium",-1.02790958693347,-0.306896616747693,-0.340582937427803,-0.203716625684996,-0.620145484867557,-0.321393991492571,0.00693600835565034,-0.521575300580132,0.444206798890186,1.17705143502333,2.17404810085363,2.19354183877513,2.31360423415482,2.15108627322329,2.13027301510104,1.16455082150017,-0.345249814580149,-0.909257184340657,0.225799982984143,0.253364315767125,0.0347285590218241,-0.241949387543697,0.475859851977754,47700.5403601178,1.57853314322614,1.30109229766715,-0.8729610293351,0.915560397140063,0.410344467618591,1.49828037429801,4,16
