"","year","country_code","code_2","country","region","eu_member","fpu_em_clerks","fpu_em_elem_ocupation","fpu_em_professional","fpu_em_senior_official","fpu_em_technician","fsppaid_em","no_ed_sppaid_em","pri_ed_sppaid_em","sec_ed_sppaid_em","ter_ed_sppaid_em","tot_em_ter_ed_wpsec","psec_sformal_em","psec_spaid_em","psec_stotal_em","psec_spaid_em_rural","psec_spaid_em_urban","wbill_per_gdp","wbill_per_pub_expenditure"
"43","2008","HRV","HR","Croatia","Eastern","EU",0.771932363510132,0.838629901409149,0.750519633293152,0.363294124603271,0.568783462047577,0.684210896492004,0.000962722289841622,0.0477743782103062,0.432694017887115,0.503259420394897,0.418861567974091,0.241403698921204,NA,0.20708179473877,0.205227375030518,0.224666610360146,12.1716700643793,26.0287016167789
"44","2010","HRV","HR","Croatia","Eastern","EU",0.763889789581299,0.97178989648819,0.71854954957962,0.236198961734772,0.54430478811264,0.688973307609558,0.000598699378315359,0.0500824116170406,0.471985548734665,0.477333337068558,0.422127813100815,0.210360959172249,0.210200950503349,0.183833330869675,0.207002699375153,0.212373211979866,12.1716700643793,25.72897433345
"45","2012","HRV","HR","Croatia","Eastern","EU",0.88808536529541,0.880403757095337,0.827575445175171,0.277504950761795,0.54430478811264,0.687040090560913,0,0.0457135364413261,0.487898588180542,0.466387867927551,0.425909370183945,0.235695958137512,0.235695958137512,0.208959385752678,0.22384138405323,0.245755478739738,12.2456517927853,26.0287016167789
"46","2014","HRV","HR","Croatia","Eastern","EU",0.738048791885376,0.835891306400299,0.783179044723511,0.363294124603271,0.492028176784515,0.648110628128052,0,0.0507516637444496,0.510837316513062,0.438411027193069,0.418861567974091,0.240417122840881,0.240417122840881,0.215861812233925,0.22021472454071,0.255632281303406,11.6744629323007,24.3243531963774
"47","2016","HRV","HR","Croatia","Eastern","EU",0.771932363510132,0.903717935085297,0.750519633293152,0.503041446208954,0.533506989479065,0.669452130794525,0.000962722289841622,0.0572502911090851,0.442771047353745,0.499015957117081,0.399013012647629,0.235884606838226,0.235884606838226,0.211207494139671,0.21178537607193,0.250604242086411,11.5625630324318,24.6774316002388
"48","2018","HRV","HR","Croatia","Eastern","EU",0.878178954124451,0.915363609790802,0.797360718250275,0.456784635782242,0.544577181339264,0.684210896492004,0.00113451178185642,0.0477743782103062,0.432694017887115,0.518397092819214,0.398580551147461,0.227911427617073,0.227911427617073,0.206288516521454,0.212044835090637,0.23677895963192,11.9180904601221,25.2242449408537
"49","2008","CYP","CY","Cyprus","Southern","EU",0.880864679813385,0.655556440353394,0.668839037418365,0.126845091581345,0.497756749391556,0.564978003501892,0.00709187798202038,0.0770533308386803,0.300047665834427,0.615807116031647,0.327457010746002,0.22822467982769,0.22822467982769,0.196056321263313,0.191525295376778,0.240816429257393,13.1678083993644,34.4482526049194
"50","2010","CYP","CY","Cyprus","Southern","EU",0.903407573699951,0.608386397361755,0.651510953903198,0.136705636978149,0.568025052547455,0.573568999767303,0.0027559467125684,0.113587312400341,0.285771101713181,0.59788566827774,0.328061103820801,0.229777932167053,0.229777932167053,0.201789945363998,0.236665323376656,0.227380126714706,14.319023808907,34.0563189352394
"51","2012","CYP","CY","Cyprus","Southern","EU",0.887452006340027,0.682177126407623,0.693799078464508,0.137877687811852,0.517596185207367,0.602415204048157,0.00414761109277606,0.0890471041202545,0.253395050764084,0.653410255908966,0.327488720417023,0.229170098900795,0.229170098900795,0.204352393746376,0.213946282863617,0.234199941158295,14.5944503735325,34.8266869099947
"52","2014","CYP","CY","Cyprus","Southern","EU",0.882225334644318,0.705261588096619,0.728883147239685,0.159414321184158,0.546721041202545,0.637557446956635,0.0054729008115828,0.0712442025542259,0.225380226969719,0.697902679443359,0.324949830770493,0.236681178212166,0.236681178212166,0.210274294018745,0.223588541150093,0.241050094366074,13.2679541853823,33.14983754948
"53","2016","CYP","CY","Cyprus","Southern","EU",0.83500862121582,0.644112884998322,0.68509429693222,0.154922515153885,0.514597773551941,0.595470786094666,0.000953700917307287,0.0847539305686951,0.216369152069092,0.697923243045807,0.320864230394363,0.243750408291817,0.243750408291817,0.216920703649521,0.249509766697884,0.24188768863678,12.201057857676,32.3700748988435
"54","2018","CYP","CY","Cyprus","Southern","EU",0.880091726779938,0.637515068054199,0.630523800849915,0.193143412470818,0.351550161838531,0.56051242351532,0,0.0691055357456207,0.26954647898674,0.661347985267639,0.292072355747223,0.237451389431953,0.237451389431953,0.211401760578156,0.240862771868706,0.236824452877045,11.8485538425917,32.3576293290827
"55","2008","EST","EE","Estonia","Eastern","EU",1,0.786318361759186,0.815709471702576,0.525102615356445,0.826903343200684,0.773510932922363,0,0.0452930144965649,0.332576721906662,0.622130274772644,0.324743390083313,0.219007179141045,0.216908052563667,0.203379780054092,0.222656592726707,0.212032467126846,11.1101895167906,27.9506511309116
"56","2010","EST","EE","Estonia","Eastern","EU",0.8361456990242,0.797374546527863,0.799704372882843,0.580766439437866,0.777430891990662,0.761501431465149,NA,0.041885033249855,0.298397481441498,0.659122228622437,0.364496290683746,0.25906053185463,0.257276743650436,0.237921521067619,0.257317692041397,0.25724133849144,11.6379257624414,28.7264554435518
"57","2012","EST","EE","Estonia","Eastern","EU",0.947051346302032,0.742264866828918,0.771895468235016,0.560491740703583,0.788916110992432,0.734466016292572,0,0.0197779852896929,0.286396384239197,0.693825602531433,0.367961198091507,0.254004061222076,0.253059923648834,0.232294127345085,0.265979290008545,0.245501294732094,10.2660233767812,26.1203875782037
"58","2014","EST","EE","Estonia","Eastern","EU",0.964754164218903,0.752832174301147,0.793669521808624,0.632014751434326,0.826915681362152,0.768090307712555,0,0.034049566835165,0.285012662410736,0.680937767028809,0.355880081653595,0.245832115411758,0.245395317673683,0.223331987857819,0.255599141120911,0.239385530352592,10.7810154831294,28.4687578154822
"59","2016","EST","EE","Estonia","Eastern","EU",0.915400743484497,0.724262237548828,0.778271019458771,0.582596242427826,0.808276653289795,0.762837171554565,0,0.0368483848869801,0.246390804648399,0.716760814189911,0.335226207971573,0.245036736130714,0.244714066386223,0.219697132706642,0.249966442584991,0.24164317548275,11.4552471470264,28.9794537329802
"60","2018","EST","EE","Estonia","Eastern","EU",0.926531612873077,0.706203520298004,0.758613884449005,0.671280562877655,0.806764185428619,0.75475287437439,0,0.0303858742117882,0.20388762652874,0.765726506710052,0.318222403526306,0.239141345024109,0.23897248506546,0.214930653572083,0.242516428232193,0.237493887543678,11.0050991695151,27.6186759755397
"61","2008","FIN","FI","Finland","Nordic","EU",0.916425704956055,0.869119822978973,0.651575803756714,0.383600115776062,0.777651429176331,0.757076919078827,0,0.0686272159218788,0.39534118771553,0.536031603813171,0.37432399392128,0.302347302436829,0.302443444728851,0.260578185319901,0.314850002527237,0.289381057024002,12.8758821,26.6807868540066
"62","2010","FIN","FI","Finland","Nordic","EU",0.871743142604828,0.970934450626373,0.665436387062073,0.604539573192596,0.809786200523376,0.774096131324768,NA,0.0266289059072733,0.332323521375656,0.536031603813171,0.386640667915344,0.325018852949142,NA,0.27210208773613,0.319152027368546,0.31057807803154,14.3249171,23.23915062045
"63","2012","FIN","FI","Finland","Nordic","EU",0.879857063293457,0.949529886245728,0.653328657150269,0.506087064743042,0.812885463237762,0.770354807376862,0,0.0463284030556679,0.330450296401978,0.623221278190613,0.374770730733871,0.314136624336243,0.313717186450958,0.27210208773613,0.341189324855804,0.281085759401321,14.2952956,25.4348077211068
"64","2014","FIN","FI","Finland","Nordic","EU",0.871743142604828,0.942226648330688,0.659888684749603,0.413575887680054,0.833315193653107,0.771221816539764,0,0.0427052937448025,0.328175067901611,0.629119634628296,0.386640667915344,0.330648332834244,0.330210119485855,0.284475386142731,0.350547552108765,0.323014378547668,14.1944966,24.4273402154825
"65","2016","FIN","FI","Finland","Nordic","EU",0.845475316047668,0.883746922016144,0.699546277523041,0.540403723716736,0.815656363964081,0.773606359958649,0,0.0330080725252628,0.332323521375656,0.634668409824371,0.387970417737961,0.334519535303116,0.334606617689133,0.287603139877319,0.343654572963715,0.331356406211853,13.3112113,23.808610607438
"66","2018","FIN","FI","Finland","Nordic","EU",0.877902388572693,0.901470363140106,0.705817878246307,0.561604976654053,0.809786200523376,0.776992619037628,0,0.0178367868065834,0.339979112148285,0.64218407869339,0.375571578741074,0.311798542737961,0.311621695756912,0.268582791090012,0.31468865275383,0.31057807803154,12.208819,23.1126118703298
"67","2008","FRA","FR","France","Continental","EU",0.767846584320068,0.788577854633331,0.644742369651794,0.2170470058918,0.732762575149536,0.667998075485229,0.00735324062407017,0.159485056996346,0.397534906864166,0.435626804828644,0.403206646442413,0.331391632556915,0.332843422889709,0.300871342420578,0.287653475999832,0.341053396463394,12.3771569680483,23.2225256615501
"68","2010","FRA","FR","France","Continental","EU",0.814044415950775,0.813484489917755,0.647475838661194,0.24993871152401,0.729187786579132,0.697146892547607,0.00643308972939849,0.174817457795143,0.400303840637207,0.418445616960526,0.38323438167572,0.348564594984055,0.349253356456757,0.31803286075592,0.334123820066452,0.352341324090958,13.0206701886293,22.8898678414097
"69","2012","FRA","FR","France","Continental","EU",0.82188493013382,0.778949797153473,0.724843621253967,0.486206859350204,0.631577551364899,0.695304691791534,0.00297910626977682,0.122455962002277,0.421474933624268,0.453090012073517,0.352858990430832,0.324633151292801,0.32274517416954,0.288671046495438,0.301377058029175,0.33372163772583,12.8542457789242,22.508173359041
"70","2014","FRA","FR","France","Continental","EU",0.826052129268646,0.807692587375641,0.706567287445068,0.2170470058918,0.658758938312531,0.700451493263245,0.00614532502368093,0.118620030581951,0.422993272542953,0.452241361141205,0.381494760513306,0.376071125268936,0.373699009418488,0.33163183927536,0.359406679868698,0.380811780691147,12.9549043732687,22.6422764227642
"71","2016","FRA","FR","France","Continental","EU",0.860172927379608,0.815983533859253,0.65656566619873,0.239013075828552,0.689184010028839,0.702008664608002,0.00478187436237931,0.12437628954649,0.39152917265892,0.479312658309937,0.393450826406479,0.39269545674324,0.39106747508049,0.347234457731247,0.382648050785065,0.395117819309235,12.739122162752,22.5174492385787
"72","2018","FRA","FR","France","Continental","EU",0.869774699211121,0.775671482086182,0.660159289836884,0.503913998603821,0.683810353279114,0.69965648651123,0.0229912772774696,0.111482128500938,0.404080212116241,0.46144637465477,0.351752251386642,0.349256724119186,0.347544491291046,0.314915776252747,0.32110595703125,0.360205262899399,12.6093522223533,22.450108105225
"73","2008","GRC","GR","Greece","Southern","EU",0.574173867702484,0.670731127262115,0.607810139656067,0.17583179473877,0.675786077976227,0.535376667976379,0.00473527563735843,0.112081848084927,0.26336732506752,0.619815528392792,0.371285080909729,0.308093637228012,0.308093637228012,0.203960239887238,0.311190664768219,0.306211292743683,11.5897351130212,22.7940280069245
"74","2010","GRC","GR","Greece","Southern","EU",0.627184152603149,0.675342679023743,0.589642345905304,0.284844011068344,0.70891797542572,0.553234875202179,0.0067098974250257,0.088822066783905,0.235152795910835,0.669315218925476,0.371059626340866,0.337336897850037,0.32979828119278,0.220441862940788,0.296965926885605,0.348107576370239,12.4168808703231,23.6612261414986
"75","2012","GRC","GR","Greece","Southern","EU",0.630233705043793,0.724551260471344,0.63325047492981,0.0621095634996891,0.518613219261169,0.524549067020416,0.00334717729128897,0.0756818577647209,0.249518290162086,0.671452641487122,0.351199984550476,0.347080409526825,0.340499490499496,0.225015804171562,0.325452864170074,0.34785583615303,12.8198154850317,24.2991395376502
"76","2014","GRC","GR","Greece","Southern","EU",0.597793936729431,0.63617879152298,0.56408429145813,0.140140518546104,0.590189337730408,0.511137306690216,0,0.0692241340875626,0.218941569328308,0.711834311485291,0.34957292675972,0.331893712282181,0.326016247272491,0.21531879901886,0.30783399939537,0.332946687936783,12.2386037972416,24.3852116210338
"77","2016","GRC","GR","Greece","Southern","EU",0.601970195770264,0.538963198661804,0.577907204627991,0.194384694099426,0.520821690559387,0.515816450119019,0.000699187105055898,0.0748329609632492,0.222034111618996,0.70243376493454,0.347187548875809,0.331598728895187,0.326381057500839,0.222385376691818,0.305446654558182,0.332260608673096,12.1453016635692,24.8278965639342
"78","2018","GRC","GR","Greece","Southern","EU",0.562166690826416,0.701271057128906,0.624793469905853,0.235721483826637,0.638290822505951,0.531320035457611,0.00042541028233245,0.0594068840146065,0.236912399530411,0.703255295753479,0.337715238332748,0.321319222450256,0.317463248968124,0.222614243626595,0.26297527551651,0.329915672540665,11.9974694122305,24.7114818601006
